ticker,name,sector
8795.T,T&Dホールディングス,保険業
8801.T,三井不動産,不動産業
8802.T,三菱地所,不動産業
8804.T,東京建物,不動産業
8830.T,住友不動産,不動産業
9001.T,東武鉄道,陸運業
9005.T,東急,陸運業
9007.T,小田急電鉄,陸運業
9008.T,京王電鉄,陸運業
9009.T,京成電鉄,陸運業
9020.T,東日本旅客鉄道,陸運業
9021.T,西日本旅客鉄道,陸運業
9022.T,東海旅客鉄道,陸運業
9062.T,日本通運,陸運業
9064.T,ヤマトホールディングス,陸運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
9201.T,日本航空,空運業
9202.T,ANAホールディングス,空運業
9301.T,三菱倉庫,倉庫運輸関連
9432.T,日本電信電話（NTT）,情報・通信業
9433.T,KDDI,情報・通信業
9434.T,ソフトバンク,情報・通信業
9501.T,東京電力ホールディングス,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9531.T,東京ガス,電気・ガス業
9532.T,大阪ガス,電気・ガス業
9613.T,NTTデータグループ,情報・通信業
9984.T,ソフトバンクグループ,情報・通信業
6502.T,東芝,電気機器
6753.T,シャープ,電気機器
6703.T,OKI（沖電気工業）,電気機器
7762.T,シチズン時計,精密機器
7205.T,日野自動車,輸送用機器
5020.T,ENEOSホールディングス,石油石炭製品
9401.T,TBSホールディングス,情報・通信業
9404.T,日本テレビホールディングス,情報・通信業
